epoch,loss,train_accuracy,validation_accuracy
0,3.556986648132644,0.12504444444444446,0.1216
10,3.3084852161801344,0.249,0.2468
20,3.164736879145601,0.28084444444444445,0.2726
30,3.083501801767393,0.29773333333333335,0.2868
40,3.0314761118580984,0.30815555555555557,0.2974
50,3.0300355622284485,0.31566666666666665,0.3032
60,2.987517780533656,0.32124444444444444,0.308
70,2.970106556700115,0.32497777777777775,0.3128
80,2.9598180689620053,0.3288888888888889,0.3184
90,2.885889954037022,0.3319111111111111,0.3202
99,2.864786092224393,0.33357777777777775,0.3236
