epoch,loss,train_accuracy,validation_accuracy
0,3.2954258398181837,0.25324444444444444,0.2468
10,2.5157328962533647,0.36191111111111113,0.3594
20,2.189967998584517,0.3682888888888889,0.3646
30,2.0828016264939757,0.3686888888888889,0.3632
40,2.008687981745221,0.3685111111111111,0.362
50,2.003569355380838,0.36666666666666664,0.3614
60,2.0126909418704573,0.3649777777777778,0.3584
70,1.9710501769370583,0.3644222222222222,0.3594
80,1.9755430665767186,0.3636888888888889,0.3568
90,1.9027552741851046,0.362,0.356
99,1.8969586334248791,0.3617111111111111,0.3554
