neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10
0,0.6648,0.8876,0.8878,0.8736,0.8572,0.8454,0.8442,0.8418,0.837,0.8338,0.8352
1,0.0454,0.0136,0.01,0.0096,0.0074,0.0054,0.005,0.0042,0.0042,0.0042,0.0046
2,0.9296,0.2962,0.317,0.3416,0.3566,0.3548,0.3744,0.3904,0.4018,0.4046,0.4064
3,0.9994,0.9908,0.9804,0.9784,0.9794,0.9828,0.9866,0.9878,0.988,0.9884,0.987
4,0.8196,0.938,0.9292,0.9292,0.9288,0.9298,0.9338,0.9356,0.9276,0.9138,0.9154
5,0.874,0.986,0.9882,0.9898,0.992,0.9924,0.9924,0.9924,0.9934,0.9934,0.9936
6,0.256,0.4292,0.4454,0.4226,0.3818,0.3518,0.3292,0.294,0.2358,0.211,0.2076
7,0.041,0.035,0.0476,0.0598,0.066,0.0724,0.0714,0.0684,0.0702,0.0712,0.0784
8,0.9642,0.973,0.9704,0.9596,0.9524,0.9454,0.9394,0.937,0.9294,0.9244,0.9148
9,0.396,0.426,0.4312,0.4342,0.414,0.4148,0.402,0.4084,0.4108,0.415,0.419
10,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002,0.0002
11,0.9964,0.9996,0.9998,1.0,1.0,1.0,1.0,1.0,0.9998,0.9996,0.9994
12,0.0112,0.003,0.0016,0.0014,0.0014,0.0012,0.0014,0.0014,0.0016,0.0016,0.0016
13,0.0584,0.1376,0.1412,0.097,0.076,0.061,0.0524,0.0468,0.0364,0.0338,0.0296
14,0.0078,0.0044,0.0042,0.0044,0.008,0.01,0.01,0.012,0.0114,0.0116,0.0132
15,0.1452,0.0356,0.0348,0.0436,0.0518,0.0828,0.1026,0.1182,0.117,0.12,0.1194
16,0.1088,0.2716,0.2414,0.2492,0.2768,0.312,0.31,0.3312,0.3376,0.3488,0.3492
17,0.7982,0.9404,0.9286,0.8976,0.8558,0.829,0.801,0.7686,0.7532,0.751,0.764
18,0.268,0.9436,0.9674,0.975,0.9788,0.9788,0.9768,0.975,0.9718,0.9674,0.963
19,0.9504,0.9526,0.9556,0.9346,0.9068,0.878,0.8592,0.841,0.8258,0.8184,0.81
20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
21,0.0064,0.0048,0.0018,0.0008,0.0004,0.0004,0.0002,0.0002,0.0002,0.0002,0.0002
22,0.0522,0.3508,0.461,0.441,0.4412,0.4332,0.4246,0.423,0.4106,0.4086,0.398
23,0.6496,0.8444,0.8632,0.8752,0.8684,0.8534,0.8188,0.7822,0.7596,0.7296,0.7036
24,0.9116,0.9366,0.9382,0.9396,0.9294,0.919,0.9084,0.9012,0.8924,0.8742,0.8594
25,0.8972,0.826,0.6392,0.493,0.3286,0.2042,0.1602,0.1556,0.1462,0.1472,0.1494
26,0.9928,0.991,0.992,0.9926,0.9944,0.9938,0.9934,0.9946,0.9952,0.9968,0.9968
27,0.0032,0.0308,0.039,0.0466,0.0486,0.0496,0.0542,0.0626,0.0738,0.0798,0.0886
28,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,0.554,0.1364,0.0912,0.0656,0.0664,0.0676,0.0672,0.0726,0.0736,0.074,0.0806
30,0.4748,0.1462,0.0614,0.0338,0.0242,0.0208,0.0184,0.0192,0.0174,0.0168,0.0162
31,0.976,0.9916,0.9786,0.9198,0.8378,0.7852,0.7446,0.7316,0.7306,0.7288,0.7134
32,0.8452,0.6896,0.4938,0.4318,0.4048,0.3642,0.3342,0.3628,0.379,0.3636,0.3712
33,0.999,0.999,0.9988,0.9992,0.999,0.999,0.9988,0.9988,0.999,0.9992,0.9992
34,0.9854,0.9794,0.9758,0.9814,0.9858,0.9896,0.992,0.9936,0.994,0.9944,0.9946
35,0.0056,0.0086,0.0094,0.007,0.0082,0.0072,0.0068,0.0062,0.0064,0.0062,0.0056
36,0.9998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
37,0.3282,0.1468,0.0798,0.0682,0.072,0.0674,0.0718,0.0812,0.09,0.096,0.109
38,0.0386,0.0192,0.012,0.009,0.0082,0.0086,0.0066,0.007,0.0062,0.0062,0.007
