epoch,loss,train_accuracy,validation_accuracy
0,2.2666817933805543,0.16062222222222222,0.157
10,2.0351780249903397,0.31824444444444444,0.3156
20,1.8435606088407033,0.3489333333333333,0.3376
30,1.8780529288752512,0.3678222222222222,0.3526
40,1.7925051619832726,0.3806,0.3584
50,1.717113901478205,0.3884444444444444,0.3712
60,1.777311693498811,0.39764444444444447,0.3804
70,1.7446215200762123,0.40255555555555556,0.3838
80,1.7049706568872967,0.4098888888888889,0.3906
90,1.631158053078387,0.4151111111111111,0.3944
100,1.7172126270244628,0.4199111111111111,0.3996
