epoch,neuron_0,neuron_1,neuron_2,neuron_3,neuron_4,neuron_5,neuron_6,neuron_7,neuron_8,neuron_9,neuron_10,neuron_11,neuron_12,neuron_13,neuron_14,neuron_15,neuron_16,neuron_17,neuron_18,neuron_19,neuron_20,neuron_21,neuron_22,neuron_23,neuron_24,neuron_25,neuron_26,neuron_27,neuron_28,neuron_29,neuron_30,neuron_31,neuron_32,neuron_33,neuron_34,neuron_35,neuron_36,neuron_37,neuron_38,neuron_39,neuron_40,neuron_41,neuron_42,neuron_43,neuron_44,neuron_45,neuron_46,neuron_47,neuron_48,neuron_49,neuron_50,neuron_51,neuron_52,neuron_53,neuron_54,neuron_55,neuron_56,neuron_57,neuron_58,neuron_59,neuron_60,neuron_61,neuron_62,neuron_63,neuron_64,neuron_65,neuron_66,neuron_67,neuron_68,neuron_69,neuron_70,neuron_71,neuron_72,neuron_73,neuron_74,neuron_75,neuron_76,neuron_77,neuron_78,neuron_79,neuron_80,neuron_81,neuron_82,neuron_83,neuron_84,neuron_85,neuron_86,neuron_87,neuron_88,neuron_89,neuron_90,neuron_91,neuron_92,neuron_93,neuron_94,neuron_95,neuron_96,neuron_97,neuron_98,neuron_99,neuron_100,neuron_101,neuron_102,neuron_103,neuron_104,neuron_105,neuron_106,neuron_107,neuron_108,neuron_109,neuron_110,neuron_111,neuron_112,neuron_113,neuron_114,neuron_115,neuron_116,neuron_117,neuron_118,neuron_119,neuron_120,neuron_121,neuron_122,neuron_123,neuron_124,neuron_125,neuron_126,neuron_127,neuron_128,neuron_129,neuron_130,neuron_131,neuron_132,neuron_133,neuron_134,neuron_135,neuron_136,neuron_137,neuron_138,neuron_139,neuron_140,neuron_141,neuron_142,neuron_143,neuron_144,neuron_145,neuron_146,neuron_147,neuron_148,neuron_149,neuron_150,neuron_151,neuron_152,neuron_153,neuron_154,neuron_155,neuron_156,neuron_157,neuron_158,neuron_159,neuron_160,neuron_161,neuron_162,neuron_163,neuron_164,neuron_165,neuron_166,neuron_167,neuron_168,neuron_169,neuron_170,neuron_171,neuron_172,neuron_173,neuron_174,neuron_175,neuron_176,neuron_177,neuron_178,neuron_179,neuron_180,neuron_181,neuron_182,neuron_183,neuron_184,neuron_185,neuron_186,neuron_187,neuron_188,neuron_189,neuron_190,neuron_191,neuron_192,neuron_193,neuron_194,neuron_195,neuron_196,neuron_197,neuron_198,neuron_199,neuron_200,neuron_201,neuron_202,neuron_203,neuron_204,neuron_205,neuron_206,neuron_207,neuron_208,neuron_209,neuron_210,neuron_211,neuron_212,neuron_213,neuron_214,neuron_215,neuron_216,neuron_217,neuron_218,neuron_219,neuron_220,neuron_221,neuron_222,neuron_223,neuron_224,neuron_225,neuron_226,neuron_227,neuron_228,neuron_229,neuron_230,neuron_231,neuron_232,neuron_233,neuron_234,neuron_235,neuron_236,neuron_237,neuron_238,neuron_239,neuron_240,neuron_241,neuron_242,neuron_243,neuron_244,neuron_245,neuron_246,neuron_247,neuron_248,neuron_249,neuron_250,neuron_251,neuron_252,neuron_253,neuron_254,neuron_255
0,0.0,0.005,0.805,0.995,0.87,0.325,1.0,0.005,0.02,0.615,0.98,0.02,0.085,0.855,0.09,0.115,0.52,0.655,0.14,1.0,0.575,0.77,0.97,0.0,0.52,0.65,0.99,0.98,0.96,0.01,0.2,0.68,0.955,0.95,0.88,0.885,0.01,0.965,0.81,0.515,1.0,0.89,0.0,0.125,0.91,0.995,0.005,0.57,0.13,0.895,1.0,0.005,0.995,1.0,0.19,0.715,0.47,0.97,0.885,0.005,0.365,0.105,0.915,0.105,1.0,0.0,0.995,0.08,0.475,0.575,0.99,0.18,1.0,0.54,1.0,0.915,0.76,0.165,0.8,0.005,0.055,0.005,0.0,0.025,0.34,0.3,0.215,0.945,0.01,0.09,0.26,0.595,0.0,0.28,0.52,0.845,0.045,0.29,0.085,0.84,0.87,0.885,1.0,0.975,0.005,0.235,0.71,0.675,0.02,0.56,0.0,0.49,0.025,0.85,0.015,0.48,0.065,0.05,0.99,0.0,0.995,0.9,0.885,0.965,0.0,0.335,0.995,0.52,0.395,0.985,0.08,0.335,0.365,0.21,0.58,0.08,0.37,0.91,0.0,0.3,0.3,0.005,0.325,0.99,0.755,0.94,0.61,0.755,0.885,0.64,1.0,0.97,0.85,0.99,0.945,0.29,0.76,0.04,1.0,0.995,0.265,0.96,0.115,0.895,0.88,0.995,0.26,0.19,0.02,0.065,0.885,0.0,0.15,0.825,0.62,0.88,0.325,0.06,0.96,0.905,0.96,0.005,0.29,0.135,1.0,0.005,0.78,0.985,0.86,0.06,0.955,0.015,1.0,0.925,0.955,0.4,0.86,0.81,0.94,0.72,0.91,0.915,0.35,0.83,0.62,0.985,0.185,0.03,0.25,0.655,0.0,0.33,0.995,0.06,0.855,0.0,0.01,0.85,0.1,0.035,0.595,0.0,0.0,0.56,0.525,0.94,0.315,0.01,0.995,0.955,0.08,0.035,0.99,0.415,0.025,0.57,0.18,0.545,0.055,0.535,0.99,1.0,0.28,0.015,0.87,0.99,1.0,0.045,0.955,0.45,0.37,0.81,0.41,0.88,0.53,0.375
10,0.0,0.0,0.825,0.94,0.965,0.165,0.995,0.01,0.035,0.49,0.8,0.01,0.045,0.99,0.11,0.06,0.35,0.23,0.08,1.0,0.545,0.97,0.99,0.0,0.75,0.185,0.995,0.955,0.99,0.0,0.105,0.975,0.99,0.97,0.35,0.995,0.015,1.0,0.735,0.585,0.995,0.685,0.005,0.295,0.51,0.985,0.01,0.095,0.03,0.91,1.0,0.005,0.995,0.835,0.02,0.485,0.5,0.93,0.29,0.005,0.095,0.21,0.81,0.055,1.0,0.0,1.0,0.005,0.21,0.045,0.985,0.56,1.0,0.395,1.0,0.945,0.965,0.06,0.495,0.01,0.04,0.055,0.0,0.01,0.405,0.115,0.405,1.0,0.0,0.02,0.77,0.24,0.005,0.1,0.98,0.58,0.08,0.38,0.095,0.935,0.155,0.255,0.995,0.99,0.02,0.21,0.765,0.765,0.01,0.11,0.0,0.865,0.01,0.37,0.0,0.025,0.095,0.015,0.955,0.025,1.0,0.52,0.92,0.985,0.005,0.105,1.0,0.455,0.1,0.985,0.03,0.91,0.905,0.035,0.23,0.05,0.065,0.835,0.0,0.06,0.34,0.02,0.075,0.955,0.905,0.97,0.845,0.84,0.95,0.28,0.995,0.985,0.195,0.97,0.89,0.035,0.98,0.045,1.0,0.98,0.135,0.98,0.145,0.93,0.925,0.975,0.205,0.03,0.01,0.495,0.955,0.015,0.395,0.88,0.38,0.93,0.2,0.15,0.85,0.985,0.995,0.02,0.035,0.09,1.0,0.145,0.965,0.985,0.755,0.04,0.615,0.01,1.0,0.99,0.945,0.36,0.39,0.045,0.98,0.115,0.9,0.105,0.185,0.6,0.94,0.975,0.085,0.015,0.3,0.305,0.0,0.045,0.995,0.06,0.95,0.04,0.005,0.965,0.055,0.04,0.055,0.0,0.0,0.905,0.25,0.995,0.055,0.07,0.99,0.89,0.01,0.34,0.99,0.075,0.005,0.38,0.06,0.105,0.025,0.85,0.99,1.0,0.05,0.0,0.13,1.0,1.0,0.175,0.965,0.38,0.085,0.935,0.29,0.925,0.2,0.16
20,0.0,0.0,0.74,0.76,0.965,0.19,1.0,0.01,0.04,0.535,0.84,0.025,0.055,1.0,0.115,0.03,0.375,0.07,0.045,1.0,0.62,1.0,0.99,0.0,0.64,0.095,1.0,0.96,0.985,0.0,0.045,0.99,1.0,1.0,0.28,0.99,0.02,0.995,0.645,0.53,0.97,0.615,0.0,0.37,0.21,0.985,0.005,0.025,0.01,0.91,0.995,0.0,1.0,0.595,0.01,0.445,0.29,0.31,0.14,0.015,0.135,0.155,0.66,0.015,1.0,0.0,1.0,0.0,0.27,0.02,0.93,0.23,0.995,0.305,0.99,0.97,0.91,0.01,0.485,0.045,0.03,0.08,0.0,0.0,0.51,0.155,0.315,0.995,0.01,0.08,0.21,0.135,0.0,0.05,0.985,0.685,0.305,0.35,0.145,0.93,0.115,0.155,0.985,1.0,0.025,0.175,0.825,0.775,0.01,0.08,0.0,0.895,0.035,0.095,0.0,0.045,0.05,0.015,0.955,0.0,1.0,0.365,0.93,0.965,0.0,0.075,1.0,0.37,0.04,1.0,0.005,0.94,0.96,0.015,0.19,0.01,0.04,0.61,0.0,0.045,0.395,0.025,0.07,0.485,0.935,0.995,0.85,0.905,0.885,0.23,0.995,0.99,0.045,0.885,0.845,0.015,0.995,0.05,1.0,0.945,0.085,0.985,0.07,0.955,0.98,0.995,0.1,0.005,0.01,0.4,0.985,0.0,0.26,0.935,0.345,0.94,0.26,0.195,0.63,0.99,0.995,0.175,0.01,0.045,1.0,0.095,0.995,0.98,0.685,0.045,0.61,0.005,1.0,0.985,0.975,0.09,0.28,0.015,0.985,0.085,0.94,0.065,0.065,0.575,1.0,0.975,0.03,0.03,0.185,0.23,0.0,0.055,1.0,0.03,0.955,0.015,0.0,0.965,0.12,0.005,0.045,0.0,0.005,0.855,0.02,0.995,0.085,0.07,0.995,0.87,0.005,0.325,1.0,0.09,0.0,0.29,0.035,0.07,0.005,0.91,0.965,1.0,0.05,0.0,0.015,0.99,1.0,0.185,0.865,0.3,0.035,0.94,0.055,0.94,0.1,0.1
30,0.0,0.0,0.71,0.54,0.98,0.14,1.0,0.005,0.02,0.585,0.825,0.02,0.02,0.99,0.16,0.02,0.28,0.035,0.055,1.0,0.43,0.995,0.995,0.0,0.61,0.09,1.0,0.97,0.975,0.005,0.09,0.99,0.99,1.0,0.345,0.995,0.055,1.0,0.535,0.445,0.985,0.485,0.0,0.255,0.215,0.99,0.02,0.02,0.01,0.9,1.0,0.0,1.0,0.675,0.015,0.395,0.365,0.285,0.165,0.0,0.06,0.105,0.625,0.015,1.0,0.0,1.0,0.005,0.2,0.015,0.575,0.23,1.0,0.26,0.995,0.95,0.885,0.01,0.455,0.07,0.01,0.12,0.0,0.0,0.435,0.14,0.455,0.995,0.0,0.065,0.07,0.225,0.0,0.035,0.995,0.54,0.405,0.29,0.17,0.955,0.07,0.23,1.0,1.0,0.02,0.295,0.795,0.76,0.035,0.09,0.0,0.925,0.025,0.07,0.0,0.005,0.06,0.005,0.935,0.005,1.0,0.385,0.92,0.955,0.0,0.07,0.995,0.305,0.07,0.995,0.06,0.955,0.95,0.0,0.245,0.0,0.04,0.505,0.0,0.025,0.425,0.05,0.09,0.525,0.91,0.99,0.805,0.935,0.925,0.24,0.99,0.985,0.065,0.785,0.62,0.01,0.99,0.04,1.0,0.95,0.105,0.99,0.065,0.97,1.0,0.995,0.1,0.0,0.005,0.475,0.985,0.005,0.35,0.835,0.345,0.915,0.175,0.27,0.36,0.995,1.0,0.205,0.005,0.005,1.0,0.13,0.99,0.98,0.74,0.01,0.505,0.005,0.99,0.99,0.945,0.085,0.195,0.005,1.0,0.07,0.955,0.02,0.065,0.48,0.965,0.975,0.025,0.0,0.15,0.285,0.0,0.03,1.0,0.075,0.995,0.035,0.0,0.99,0.025,0.0,0.02,0.005,0.0,0.9,0.02,0.98,0.035,0.115,1.0,0.805,0.01,0.34,1.0,0.14,0.0,0.18,0.03,0.025,0.01,0.83,0.97,1.0,0.055,0.0,0.01,0.995,1.0,0.245,0.595,0.37,0.02,0.855,0.025,0.885,0.145,0.045
40,0.0,0.0,0.74,0.495,0.955,0.195,1.0,0.0,0.045,0.615,0.735,0.035,0.025,0.995,0.155,0.005,0.29,0.04,0.06,1.0,0.295,1.0,0.99,0.0,0.565,0.06,0.98,0.985,1.0,0.005,0.05,0.995,1.0,0.995,0.34,1.0,0.015,0.995,0.53,0.375,0.99,0.42,0.0,0.31,0.24,0.99,0.02,0.025,0.025,0.94,0.995,0.0,1.0,0.67,0.02,0.52,0.44,0.245,0.14,0.03,0.095,0.09,0.575,0.01,1.0,0.0,1.0,0.01,0.245,0.01,0.365,0.16,1.0,0.3,0.975,0.97,0.83,0.03,0.39,0.12,0.02,0.105,0.0,0.0,0.425,0.165,0.445,0.99,0.0,0.095,0.04,0.25,0.0,0.02,0.995,0.51,0.365,0.285,0.16,0.93,0.06,0.235,1.0,1.0,0.035,0.295,0.805,0.725,0.05,0.1,0.0,0.905,0.04,0.025,0.0,0.01,0.09,0.045,0.93,0.0,1.0,0.41,0.905,0.95,0.0,0.035,0.98,0.285,0.015,0.99,0.03,0.94,0.965,0.005,0.155,0.0,0.11,0.385,0.0,0.03,0.43,0.045,0.075,0.47,0.9,1.0,0.71,0.955,0.9,0.35,0.995,0.99,0.04,0.755,0.545,0.01,0.985,0.03,1.0,0.935,0.07,0.975,0.05,0.975,0.99,0.99,0.06,0.01,0.005,0.455,0.985,0.005,0.36,0.805,0.325,0.86,0.23,0.3,0.29,0.985,0.995,0.26,0.005,0.01,1.0,0.105,0.995,0.99,0.695,0.01,0.445,0.005,0.995,0.975,0.955,0.05,0.18,0.0,1.0,0.05,0.955,0.025,0.025,0.525,0.99,0.98,0.02,0.005,0.13,0.335,0.0,0.02,1.0,0.03,0.975,0.01,0.005,0.99,0.05,0.0,0.015,0.0,0.0,0.75,0.015,0.995,0.07,0.155,1.0,0.795,0.005,0.34,0.995,0.195,0.015,0.155,0.015,0.04,0.025,0.705,0.98,1.0,0.065,0.0,0.0,1.0,1.0,0.185,0.44,0.36,0.02,0.81,0.035,0.895,0.115,0.05
50,0.0,0.0,0.73,0.45,0.98,0.12,0.995,0.005,0.045,0.595,0.62,0.01,0.03,1.0,0.195,0.01,0.275,0.05,0.07,1.0,0.095,1.0,0.99,0.0,0.565,0.05,0.985,0.99,0.99,0.005,0.09,0.985,0.98,0.995,0.425,0.995,0.06,1.0,0.455,0.395,0.965,0.41,0.0,0.395,0.21,0.965,0.025,0.01,0.005,0.935,1.0,0.0,1.0,0.68,0.04,0.545,0.365,0.185,0.185,0.015,0.07,0.11,0.54,0.015,1.0,0.0,1.0,0.025,0.275,0.01,0.345,0.12,0.995,0.3,0.995,0.975,0.765,0.02,0.345,0.115,0.02,0.085,0.0,0.0,0.445,0.23,0.435,0.965,0.0,0.115,0.105,0.255,0.0,0.02,0.99,0.59,0.365,0.335,0.175,0.935,0.085,0.245,0.995,1.0,0.025,0.265,0.805,0.7,0.05,0.075,0.0,0.835,0.04,0.04,0.0,0.025,0.085,0.05,0.895,0.005,1.0,0.35,0.91,0.8,0.005,0.07,0.955,0.295,0.05,0.995,0.055,0.95,0.965,0.005,0.11,0.025,0.075,0.34,0.0,0.01,0.4,0.04,0.08,0.375,0.86,0.99,0.545,0.95,0.905,0.33,0.995,0.99,0.025,0.71,0.49,0.005,0.99,0.045,1.0,0.945,0.11,0.99,0.065,0.975,0.995,0.995,0.06,0.0,0.005,0.5,1.0,0.0,0.305,0.78,0.39,0.785,0.165,0.225,0.365,0.99,1.0,0.265,0.005,0.015,1.0,0.06,0.98,0.955,0.685,0.0,0.44,0.0,0.995,0.96,0.985,0.05,0.16,0.01,1.0,0.055,0.94,0.015,0.03,0.4,0.98,0.975,0.005,0.015,0.12,0.37,0.0,0.025,1.0,0.05,1.0,0.04,0.0,0.99,0.055,0.01,0.02,0.01,0.0,0.78,0.005,1.0,0.05,0.145,1.0,0.765,0.005,0.37,1.0,0.25,0.04,0.11,0.01,0.035,0.005,0.695,0.975,1.0,0.085,0.0,0.01,1.0,1.0,0.21,0.305,0.305,0.01,0.61,0.03,0.915,0.18,0.015
60,0.0,0.0,0.73,0.49,0.975,0.115,0.995,0.005,0.06,0.695,0.61,0.035,0.04,0.995,0.2,0.015,0.36,0.04,0.05,1.0,0.08,1.0,0.985,0.0,0.425,0.07,0.985,0.995,1.0,0.0,0.06,1.0,0.99,1.0,0.29,0.985,0.045,1.0,0.56,0.285,0.98,0.365,0.0,0.345,0.24,0.94,0.01,0.015,0.015,0.865,1.0,0.0,0.995,0.64,0.035,0.475,0.355,0.285,0.115,0.04,0.1,0.12,0.45,0.01,1.0,0.0,1.0,0.0,0.31,0.0,0.425,0.115,1.0,0.345,1.0,0.975,0.78,0.055,0.39,0.19,0.02,0.095,0.0,0.0,0.49,0.13,0.315,0.98,0.0,0.2,0.045,0.245,0.0,0.03,0.98,0.51,0.32,0.405,0.13,0.875,0.05,0.22,1.0,1.0,0.065,0.26,0.79,0.72,0.13,0.145,0.0,0.85,0.05,0.035,0.0,0.02,0.085,0.07,0.925,0.01,0.99,0.405,0.915,0.61,0.0,0.055,0.92,0.315,0.02,0.99,0.04,0.975,0.92,0.02,0.105,0.005,0.11,0.3,0.0,0.015,0.47,0.01,0.065,0.355,0.895,0.98,0.34,0.955,0.835,0.37,0.985,0.99,0.02,0.585,0.48,0.0,0.995,0.025,1.0,0.92,0.045,0.995,0.05,0.985,1.0,0.995,0.04,0.01,0.03,0.34,0.985,0.005,0.255,0.8,0.335,0.63,0.19,0.345,0.405,1.0,1.0,0.35,0.015,0.005,1.0,0.015,0.99,0.98,0.625,0.005,0.445,0.005,0.98,0.935,0.975,0.04,0.175,0.0,1.0,0.05,0.965,0.035,0.04,0.565,0.99,0.98,0.02,0.01,0.075,0.285,0.0,0.02,1.0,0.04,1.0,0.015,0.0,1.0,0.075,0.005,0.02,0.0,0.0,0.73,0.01,0.995,0.075,0.235,1.0,0.75,0.015,0.39,1.0,0.325,0.01,0.115,0.045,0.04,0.01,0.69,0.975,1.0,0.065,0.0,0.0,1.0,1.0,0.16,0.23,0.35,0.01,0.465,0.01,0.9,0.1,0.03
70,0.0,0.0,0.715,0.45,0.96,0.125,0.995,0.005,0.05,0.625,0.53,0.02,0.055,0.995,0.185,0.005,0.35,0.04,0.065,1.0,0.02,1.0,0.975,0.005,0.445,0.06,0.99,0.995,0.99,0.0,0.045,0.98,0.985,1.0,0.245,1.0,0.015,0.99,0.51,0.27,0.965,0.34,0.0,0.325,0.245,0.96,0.035,0.0,0.0,0.885,1.0,0.0,1.0,0.66,0.055,0.505,0.425,0.215,0.145,0.025,0.105,0.105,0.49,0.01,1.0,0.0,1.0,0.01,0.415,0.005,0.375,0.145,1.0,0.36,0.995,0.965,0.715,0.05,0.39,0.225,0.02,0.085,0.0,0.0,0.39,0.185,0.29,0.965,0.0,0.17,0.11,0.28,0.0,0.035,0.99,0.425,0.325,0.35,0.135,0.93,0.065,0.23,0.995,1.0,0.01,0.225,0.855,0.735,0.1,0.11,0.0,0.785,0.06,0.035,0.0,0.02,0.08,0.05,0.88,0.0,0.995,0.415,0.875,0.275,0.0,0.04,0.895,0.365,0.01,0.995,0.035,0.97,0.96,0.01,0.095,0.005,0.12,0.315,0.0,0.02,0.415,0.02,0.065,0.375,0.87,0.975,0.245,0.975,0.825,0.415,0.98,0.985,0.015,0.605,0.5,0.01,0.995,0.025,1.0,0.945,0.055,0.99,0.105,0.985,1.0,1.0,0.055,0.015,0.005,0.405,0.995,0.005,0.3,0.795,0.435,0.54,0.17,0.275,0.31,0.985,0.995,0.28,0.01,0.005,1.0,0.04,0.98,1.0,0.665,0.0,0.365,0.0,0.99,0.91,0.975,0.015,0.235,0.01,0.995,0.085,0.945,0.03,0.025,0.47,0.99,0.975,0.015,0.02,0.09,0.34,0.005,0.035,1.0,0.045,0.995,0.025,0.005,0.99,0.095,0.005,0.025,0.0,0.0,0.725,0.01,0.99,0.065,0.23,0.995,0.77,0.015,0.445,0.995,0.29,0.025,0.11,0.02,0.055,0.025,0.725,0.97,1.0,0.075,0.0,0.005,0.99,1.0,0.145,0.185,0.375,0.015,0.395,0.005,0.88,0.15,0.015
80,0.0,0.0,0.71,0.53,0.975,0.12,0.995,0.015,0.055,0.655,0.495,0.005,0.09,0.995,0.225,0.015,0.365,0.055,0.06,1.0,0.005,1.0,0.985,0.0,0.465,0.045,0.965,1.0,0.98,0.0,0.07,0.99,1.0,0.995,0.365,1.0,0.02,1.0,0.47,0.36,0.97,0.285,0.0,0.32,0.205,0.945,0.035,0.005,0.005,0.9,1.0,0.0,1.0,0.67,0.015,0.525,0.44,0.17,0.165,0.035,0.125,0.09,0.525,0.015,1.0,0.0,1.0,0.01,0.39,0.005,0.295,0.125,1.0,0.23,1.0,0.96,0.685,0.03,0.355,0.175,0.01,0.075,0.0,0.0,0.415,0.205,0.3,0.94,0.0,0.13,0.125,0.355,0.0,0.025,0.995,0.43,0.38,0.395,0.18,0.925,0.04,0.27,0.985,1.0,0.025,0.265,0.795,0.65,0.1,0.135,0.0,0.795,0.08,0.055,0.0,0.01,0.13,0.07,0.885,0.0,0.99,0.37,0.885,0.275,0.0,0.06,0.89,0.365,0.03,0.995,0.03,0.955,0.945,0.015,0.095,0.01,0.115,0.315,0.0,0.015,0.405,0.04,0.12,0.36,0.875,0.98,0.245,0.96,0.87,0.335,0.99,0.98,0.025,0.59,0.48,0.0,0.995,0.015,1.0,0.955,0.11,0.99,0.085,1.0,1.0,0.995,0.03,0.01,0.005,0.43,0.995,0.0,0.26,0.785,0.32,0.505,0.195,0.295,0.32,0.99,1.0,0.335,0.005,0.0,1.0,0.05,0.975,0.99,0.655,0.0,0.5,0.0,0.995,0.855,0.98,0.03,0.24,0.0,1.0,0.1,0.95,0.01,0.02,0.47,0.965,0.965,0.005,0.005,0.12,0.33,0.0,0.06,1.0,0.09,0.995,0.045,0.0,0.99,0.08,0.0,0.025,0.005,0.0,0.76,0.005,1.0,0.05,0.305,1.0,0.745,0.02,0.365,1.0,0.325,0.015,0.075,0.025,0.04,0.015,0.675,0.945,0.995,0.085,0.005,0.0,0.995,1.0,0.155,0.17,0.32,0.01,0.32,0.01,0.9,0.17,0.01
90,0.0,0.0,0.735,0.575,0.96,0.135,1.0,0.0,0.06,0.555,0.44,0.015,0.06,0.99,0.22,0.01,0.35,0.05,0.035,1.0,0.015,1.0,0.995,0.0,0.375,0.05,0.99,0.985,0.985,0.0,0.095,0.98,0.99,0.985,0.395,0.99,0.025,1.0,0.445,0.315,0.995,0.33,0.0,0.275,0.24,0.975,0.07,0.015,0.01,0.89,1.0,0.0,1.0,0.68,0.065,0.495,0.445,0.265,0.165,0.025,0.145,0.09,0.48,0.005,1.0,0.0,1.0,0.015,0.34,0.005,0.275,0.125,1.0,0.23,1.0,0.965,0.66,0.075,0.305,0.2,0.0,0.105,0.0,0.0,0.42,0.215,0.4,0.975,0.0,0.165,0.105,0.365,0.0,0.025,0.99,0.52,0.315,0.39,0.17,0.915,0.095,0.345,0.995,1.0,0.035,0.35,0.74,0.685,0.095,0.105,0.0,0.81,0.055,0.04,0.0,0.005,0.15,0.065,0.765,0.005,0.975,0.46,0.735,0.245,0.0,0.08,0.83,0.485,0.04,0.995,0.065,0.97,0.935,0.015,0.12,0.01,0.105,0.37,0.0,0.01,0.345,0.035,0.06,0.38,0.89,0.975,0.205,0.945,0.825,0.305,0.985,0.985,0.005,0.6,0.46,0.0,0.995,0.035,1.0,0.96,0.125,0.98,0.175,0.985,0.995,0.985,0.08,0.005,0.015,0.485,0.995,0.015,0.225,0.77,0.285,0.49,0.14,0.345,0.41,0.99,1.0,0.32,0.0,0.005,0.995,0.08,0.98,0.995,0.63,0.01,0.52,0.01,0.985,0.87,0.975,0.01,0.23,0.0,0.99,0.115,0.965,0.0,0.02,0.45,0.97,0.96,0.005,0.015,0.085,0.285,0.005,0.03,1.0,0.07,1.0,0.02,0.0,1.0,0.065,0.005,0.04,0.01,0.0,0.78,0.01,1.0,0.045,0.28,1.0,0.75,0.015,0.365,1.0,0.33,0.04,0.08,0.005,0.045,0.01,0.64,0.96,1.0,0.11,0.0,0.02,1.0,1.0,0.165,0.115,0.325,0.005,0.355,0.015,0.9,0.15,0.03
