epoch,loss,train_accuracy,validation_accuracy
0,2.4087422713924447,0.09971111111111111,0.1004
10,2.2953727083939417,0.14622222222222223,0.1478
20,2.2811570849043936,0.17142222222222223,0.1754
30,2.2686260750881626,0.19297777777777778,0.1968
40,2.265471580148423,0.21306666666666665,0.2168
50,2.2520037682621745,0.23095555555555555,0.2338
60,2.2473685918050683,0.24553333333333333,0.2488
70,2.2396457446529503,0.2576222222222222,0.2632
80,2.2320834956245585,0.2665777777777778,0.2744
90,2.206235449881403,0.27113333333333334,0.2794
99,2.2087563752874915,0.2756,0.2836
