neuron,epoch_0,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_21,epoch_22,epoch_23,epoch_24,epoch_25,epoch_26,epoch_27,epoch_28,epoch_29,epoch_30,epoch_31,epoch_32,epoch_33,epoch_34,epoch_35,epoch_36,epoch_37,epoch_38,epoch_39,epoch_40,epoch_41,epoch_42,epoch_43,epoch_44,epoch_45,epoch_46,epoch_47,epoch_48,epoch_49,epoch_50,epoch_51,epoch_52,epoch_53,epoch_54,epoch_55,epoch_56,epoch_57,epoch_58,epoch_59,epoch_60,epoch_61,epoch_62,epoch_63,epoch_64,epoch_65,epoch_66,epoch_67,epoch_68,epoch_69,epoch_70,epoch_71,epoch_72,epoch_73,epoch_74,epoch_75,epoch_76,epoch_77,epoch_78,epoch_79,epoch_80,epoch_81,epoch_82,epoch_83,epoch_84,epoch_85,epoch_86,epoch_87,epoch_88,epoch_89,epoch_90,epoch_91,epoch_92,epoch_93,epoch_94,epoch_95,epoch_96,epoch_97,epoch_98,epoch_99,epoch_100,epoch_101,epoch_102,epoch_103,epoch_104,epoch_105,epoch_106,epoch_107,epoch_108,epoch_109,epoch_110,epoch_111,epoch_112,epoch_113,epoch_114,epoch_115,epoch_116,epoch_117,epoch_118,epoch_119,epoch_120,epoch_121,epoch_122,epoch_123,epoch_124,epoch_125,epoch_126,epoch_127,epoch_128,epoch_129,epoch_130,epoch_131,epoch_132,epoch_133,epoch_134,epoch_135,epoch_136,epoch_137,epoch_138,epoch_139,epoch_140,epoch_141,epoch_142,epoch_143,epoch_144,epoch_145,epoch_146,epoch_147,epoch_148,epoch_149
0,0.9852,0.9868,0.985,0.9832,0.9838,0.978,0.976,0.9736,0.9748,0.9738,0.97,0.9708,0.9716,0.9658,0.966,0.965,0.9652,0.9638,0.9644,0.9618,0.9648,0.9606,0.9574,0.9502,0.9462,0.9404,0.9408,0.9358,0.9356,0.9372,0.9304,0.921,0.9162,0.9232,0.9208,0.9242,0.9192,0.9178,0.923,0.9126,0.9092,0.9034,0.8992,0.8896,0.8924,0.8908,0.8986,0.8896,0.902,0.9022,0.8938,0.8816,0.8798,0.8842,0.8676,0.8642,0.8712,0.8526,0.8672,0.8628,0.8712,0.8652,0.8586,0.8742,0.8646,0.8584,0.8588,0.8538,0.838,0.828,0.8306,0.8406,0.8304,0.8324,0.8438,0.8356,0.8414,0.8414,0.8486,0.8572,0.8498,0.8414,0.843,0.8518,0.8522,0.8466,0.8292,0.8158,0.839,0.8372,0.8076,0.8008,0.8006,0.7938,0.81,0.8104,0.7966,0.7836,0.7668,0.7836,0.7884,0.7884,0.7856,0.7946,0.8088,0.8026,0.7998,0.7894,0.7898,0.7974,0.8096,0.8204,0.8186,0.8114,0.7988,0.802,0.802,0.8066,0.8138,0.8078,0.8012,0.7904,0.78,0.7936,0.7972,0.7992,0.803,0.7872,0.8018,0.8114,0.8066,0.81,0.7998,0.7876,0.8026,0.8044,0.7954,0.7924,0.7894,0.8118,0.7968,0.7754,0.7686,0.7806,0.7642,0.772,0.7862,0.786,0.7832,0.7802
1,0.8336,0.9394,0.9632,0.97,0.9746,0.9756,0.9764,0.979,0.979,0.9804,0.9776,0.9784,0.978,0.979,0.9796,0.9786,0.9796,0.9794,0.9808,0.9798,0.9768,0.9764,0.9738,0.9744,0.9734,0.9732,0.9728,0.972,0.9716,0.9742,0.973,0.9726,0.9712,0.9698,0.9708,0.9726,0.97,0.9714,0.9702,0.9644,0.967,0.9696,0.9728,0.9726,0.971,0.9674,0.967,0.967,0.967,0.9682,0.9646,0.9682,0.9724,0.9692,0.9702,0.9668,0.9676,0.9624,0.9636,0.9622,0.9622,0.9618,0.963,0.9578,0.9568,0.9564,0.9588,0.9546,0.9608,0.9624,0.9634,0.9624,0.9604,0.95,0.9486,0.9534,0.9598,0.9566,0.9588,0.9584,0.9574,0.9584,0.9586,0.9618,0.9552,0.9526,0.9596,0.9584,0.9554,0.9544,0.9496,0.9442,0.9476,0.9402,0.9446,0.9354,0.9302,0.9352,0.9334,0.9304,0.9296,0.9332,0.9346,0.9358,0.9366,0.934,0.9356,0.9356,0.9258,0.9258,0.9314,0.9346,0.9372,0.9366,0.9288,0.925,0.922,0.9284,0.928,0.9146,0.9136,0.9096,0.915,0.9218,0.909,0.9092,0.9098,0.9208,0.911,0.913,0.9138,0.9184,0.905,0.9066,0.9144,0.9132,0.9122,0.9112,0.911,0.9114,0.921,0.9168,0.9168,0.9128,0.913,0.9106,0.8972,0.8922,0.8882,0.8874
2,0.4974,0.4544,0.475,0.4842,0.4318,0.4434,0.445,0.4442,0.4446,0.4104,0.3966,0.38,0.3988,0.387,0.3434,0.3564,0.3598,0.3726,0.367,0.3798,0.3912,0.3936,0.3926,0.3902,0.3836,0.3922,0.4186,0.44,0.4428,0.4418,0.4328,0.4484,0.4426,0.4236,0.4184,0.4226,0.429,0.4302,0.4412,0.4356,0.434,0.4342,0.4478,0.4506,0.4496,0.4688,0.4636,0.4678,0.4608,0.4722,0.4752,0.4562,0.4636,0.4644,0.4802,0.4756,0.4924,0.4696,0.4818,0.4762,0.4646,0.461,0.4564,0.464,0.457,0.4474,0.4462,0.4632,0.4644,0.448,0.4586,0.4624,0.469,0.4618,0.4782,0.4912,0.4756,0.4772,0.4696,0.463,0.4736,0.4674,0.4406,0.4482,0.4534,0.47,0.4754,0.4678,0.4628,0.4698,0.4676,0.4488,0.4582,0.455,0.4582,0.4594,0.4566,0.47,0.4636,0.4744,0.461,0.4632,0.4758,0.4694,0.4596,0.4548,0.4536,0.4442,0.4372,0.4444,0.4458,0.4598,0.4506,0.4676,0.4656,0.4646,0.4634,0.4738,0.4738,0.4758,0.4794,0.4562,0.4632,0.4654,0.4816,0.4748,0.4668,0.4636,0.4584,0.4574,0.4496,0.4554,0.4546,0.4556,0.4788,0.4662,0.4738,0.4724,0.4716,0.4682,0.4618,0.4752,0.4698,0.4642,0.4634,0.4482,0.4506,0.4338,0.4368,0.4626
3,0.9938,0.9896,0.9816,0.9762,0.9662,0.9636,0.9642,0.9672,0.963,0.9598,0.9562,0.9534,0.9518,0.9518,0.9504,0.9468,0.941,0.9428,0.9356,0.9362,0.9422,0.9374,0.928,0.9232,0.9072,0.9022,0.902,0.9018,0.889,0.8746,0.8776,0.8792,0.8734,0.8854,0.888,0.8886,0.8674,0.8722,0.8586,0.8584,0.8534,0.852,0.8428,0.8424,0.8398,0.8198,0.8284,0.8306,0.8346,0.8198,0.842,0.842,0.8552,0.8502,0.864,0.8692,0.8612,0.86,0.8528,0.853,0.8464,0.8512,0.842,0.84,0.8408,0.8494,0.8528,0.8554,0.8492,0.84,0.8372,0.8358,0.842,0.8356,0.8438,0.8246,0.8262,0.815,0.8146,0.8254,0.8232,0.8334,0.8386,0.824,0.8376,0.8546,0.8418,0.8304,0.8264,0.8118,0.808,0.8064,0.8126,0.819,0.8124,0.8094,0.8034,0.8096,0.8034,0.7908,0.7774,0.766,0.7644,0.7618,0.7688,0.7826,0.7764,0.7804,0.7972,0.7948,0.7868,0.7802,0.7722,0.7682,0.766,0.7646,0.7508,0.7506,0.747,0.746,0.731,0.7342,0.733,0.7196,0.7126,0.7106,0.73,0.7238,0.727,0.7328,0.7336,0.7234,0.7104,0.717,0.6996,0.7176,0.7196,0.733,0.7182,0.7356,0.727,0.7178,0.7178,0.7102,0.714,0.7296,0.728,0.723,0.7092,0.7014
4,0.2678,0.6496,0.8124,0.869,0.882,0.8984,0.8976,0.8942,0.885,0.887,0.8742,0.8682,0.8514,0.8668,0.8538,0.8448,0.8304,0.8254,0.806,0.8016,0.8098,0.7882,0.7938,0.7902,0.8004,0.7982,0.777,0.788,0.7766,0.7876,0.7916,0.7764,0.7788,0.771,0.7758,0.7804,0.8006,0.7938,0.7944,0.8044,0.8112,0.8092,0.8164,0.8074,0.807,0.809,0.802,0.8052,0.818,0.8244,0.8244,0.821,0.8244,0.8398,0.8376,0.8228,0.8318,0.8406,0.8516,0.833,0.8262,0.8316,0.8366,0.838,0.844,0.8458,0.8378,0.846,0.8386,0.8342,0.8264,0.8226,0.8334,0.8152,0.8222,0.84,0.8416,0.8366,0.8286,0.8406,0.835,0.8412,0.835,0.8442,0.8284,0.839,0.8386,0.8318,0.8274,0.8332,0.817,0.8236,0.8254,0.838,0.8362,0.838,0.8352,0.8408,0.8338,0.8284,0.8388,0.8302,0.8346,0.8512,0.8574,0.8584,0.8574,0.863,0.8674,0.86,0.8486,0.8418,0.8376,0.8358,0.8376,0.8574,0.8456,0.831,0.8424,0.8316,0.8366,0.8424,0.8466,0.8512,0.8494,0.8426,0.842,0.8372,0.8304,0.84,0.8402,0.8404,0.8478,0.8474,0.8478,0.8414,0.8314,0.8324,0.8338,0.8312,0.839,0.8398,0.8402,0.8448,0.8422,0.8494,0.85,0.8452,0.852,0.8612
5,0.0136,0.1126,0.2546,0.3066,0.347,0.3822,0.4184,0.3968,0.3864,0.375,0.3312,0.3252,0.3244,0.3164,0.2996,0.293,0.2702,0.2616,0.2416,0.2508,0.2334,0.2282,0.2364,0.23,0.2302,0.2408,0.2266,0.241,0.2434,0.2442,0.252,0.2462,0.2522,0.2414,0.244,0.2478,0.2422,0.2288,0.2284,0.2378,0.2274,0.234,0.254,0.2486,0.244,0.2474,0.2408,0.2386,0.246,0.2358,0.2416,0.2442,0.235,0.2504,0.248,0.2386,0.2378,0.244,0.2558,0.2506,0.2514,0.2652,0.2594,0.2554,0.25,0.242,0.2444,0.2636,0.262,0.2716,0.2654,0.2708,0.2624,0.2608,0.2672,0.271,0.2648,0.2658,0.2496,0.252,0.2422,0.2664,0.26,0.2588,0.2566,0.2702,0.2704,0.2732,0.2696,0.2776,0.2712,0.26,0.269,0.2716,0.2688,0.2648,0.2642,0.2694,0.266,0.2564,0.2516,0.2616,0.2558,0.2554,0.258,0.2446,0.246,0.2524,0.2564,0.2688,0.2552,0.2664,0.2632,0.2516,0.2582,0.246,0.2316,0.234,0.2412,0.2322,0.2378,0.2288,0.24,0.2364,0.2516,0.2608,0.255,0.244,0.2456,0.2584,0.2538,0.247,0.253,0.243,0.2492,0.2528,0.2636,0.253,0.2486,0.2544,0.2528,0.2404,0.2458,0.2502,0.2442,0.2406,0.2472,0.2354,0.2398,0.2446
6,0.4794,0.5058,0.495,0.4646,0.4246,0.4076,0.4018,0.3756,0.3286,0.3118,0.2684,0.2572,0.258,0.2356,0.2372,0.2204,0.2452,0.2446,0.2422,0.2764,0.2642,0.2866,0.2634,0.2712,0.248,0.2606,0.2534,0.2744,0.2842,0.2932,0.3006,0.3074,0.3064,0.3096,0.314,0.3274,0.335,0.3432,0.3352,0.3026,0.3284,0.3326,0.3456,0.3424,0.345,0.342,0.3718,0.3764,0.381,0.3946,0.3922,0.4022,0.4068,0.4156,0.3948,0.3964,0.3884,0.3872,0.404,0.411,0.4274,0.4192,0.4024,0.4194,0.4052,0.4198,0.4066,0.4206,0.4378,0.4318,0.4328,0.447,0.4482,0.4444,0.4436,0.4436,0.4356,0.4146,0.4216,0.4446,0.4452,0.4332,0.4438,0.4462,0.4472,0.446,0.4422,0.4522,0.4464,0.462,0.4584,0.4562,0.4674,0.4594,0.4664,0.4684,0.465,0.4738,0.4814,0.4638,0.4686,0.4748,0.4628,0.4714,0.4786,0.4728,0.4812,0.4828,0.4786,0.4828,0.4726,0.4848,0.4938,0.486,0.4918,0.4996,0.4948,0.5044,0.5098,0.5088,0.5158,0.524,0.529,0.5082,0.515,0.5036,0.5216,0.5268,0.5264,0.54,0.5452,0.539,0.5318,0.5144,0.532,0.5366,0.5296,0.5358,0.533,0.5426,0.5266,0.5126,0.5124,0.5018,0.5054,0.5072,0.517,0.5098,0.5226,0.529
7,0.982,0.982,0.9834,0.9786,0.9754,0.9706,0.9642,0.9492,0.9464,0.9418,0.9296,0.9112,0.9084,0.8974,0.889,0.8846,0.8872,0.8856,0.8778,0.8416,0.8184,0.8022,0.805,0.8254,0.8056,0.8006,0.8068,0.7956,0.7952,0.7836,0.7476,0.7576,0.7436,0.7538,0.7392,0.7252,0.7164,0.7212,0.7214,0.6966,0.6948,0.6974,0.683,0.6838,0.7122,0.6908,0.6722,0.6964,0.6798,0.6468,0.6344,0.6096,0.6366,0.6258,0.6154,0.5838,0.6064,0.615,0.6014,0.6046,0.614,0.5828,0.5806,0.5776,0.583,0.5966,0.6146,0.5758,0.6078,0.5788,0.5704,0.5922,0.5694,0.551,0.5664,0.589,0.5878,0.57,0.5942,0.5728,0.5818,0.5568,0.5566,0.5586,0.5674,0.5828,0.6032,0.599,0.6002,0.5942,0.584,0.5608,0.5442,0.5382,0.5302,0.5404,0.5452,0.5232,0.5344,0.5234,0.554,0.5528,0.5716,0.5626,0.5674,0.5696,0.5358,0.5364,0.5364,0.557,0.5326,0.5624,0.5466,0.5634,0.5492,0.539,0.5062,0.5028,0.514,0.5374,0.547,0.5382,0.5184,0.5204,0.5268,0.5256,0.537,0.5522,0.5618,0.5686,0.5442,0.5568,0.5586,0.566,0.558,0.576,0.569,0.5396,0.5446,0.5562,0.544,0.5404,0.5274,0.5412,0.5386,0.5446,0.529,0.5082,0.5076,0.5164
8,0.6922,0.7142,0.7498,0.7632,0.7516,0.7756,0.7752,0.7614,0.7542,0.761,0.765,0.7752,0.7702,0.7718,0.7436,0.7596,0.777,0.7688,0.7626,0.7688,0.736,0.708,0.7008,0.6874,0.6636,0.6516,0.6488,0.6516,0.6366,0.5942,0.5874,0.5652,0.5516,0.5718,0.5632,0.5924,0.59,0.5462,0.554,0.5594,0.5462,0.5376,0.5126,0.5088,0.5316,0.5244,0.5054,0.4926,0.4856,0.488,0.498,0.4986,0.489,0.488,0.4648,0.4434,0.4406,0.4516,0.4758,0.481,0.473,0.4854,0.4858,0.5012,0.5042,0.5008,0.4964,0.4764,0.4872,0.4596,0.449,0.4468,0.4498,0.4132,0.4208,0.439,0.4348,0.448,0.4268,0.4434,0.4132,0.431,0.4246,0.4032,0.4264,0.4198,0.4062,0.4118,0.4026,0.3944,0.3838,0.383,0.3962,0.4142,0.442,0.4464,0.472,0.4674,0.4718,0.4806,0.4808,0.4842,0.4792,0.4686,0.4692,0.4676,0.4766,0.4736,0.4688,0.4666,0.4528,0.458,0.4352,0.4302,0.422,0.4224,0.4208,0.3988,0.4134,0.424,0.4288,0.428,0.4194,0.4326,0.4176,0.4196,0.4332,0.412,0.3984,0.3982,0.401,0.3888,0.4096,0.4074,0.4018,0.4146,0.4208,0.3998,0.431,0.4146,0.3992,0.3876,0.3944,0.41,0.3788,0.4142,0.4222,0.4154,0.4018,0.3986
9,0.3942,0.648,0.7172,0.7498,0.764,0.7526,0.761,0.739,0.7188,0.6778,0.6776,0.6848,0.664,0.6768,0.6536,0.6488,0.6482,0.6028,0.6206,0.6088,0.6032,0.5926,0.5988,0.575,0.588,0.5646,0.5576,0.532,0.5272,0.5092,0.5196,0.4984,0.5058,0.4978,0.5002,0.5088,0.4982,0.4966,0.489,0.5006,0.4964,0.4904,0.4896,0.4962,0.4824,0.4698,0.4708,0.4734,0.466,0.469,0.4586,0.4586,0.4486,0.4624,0.4684,0.4658,0.4602,0.4578,0.4514,0.447,0.4432,0.445,0.4458,0.4482,0.4556,0.4378,0.464,0.4574,0.4392,0.4484,0.423,0.4194,0.4268,0.4304,0.437,0.4342,0.4362,0.4402,0.4332,0.4252,0.4444,0.441,0.4302,0.4056,0.4144,0.4328,0.4148,0.428,0.4296,0.4276,0.4192,0.4262,0.432,0.4282,0.4066,0.415,0.4128,0.4078,0.4196,0.433,0.4274,0.4322,0.4386,0.4428,0.4398,0.4214,0.4328,0.4294,0.4352,0.4268,0.424,0.4336,0.4204,0.4146,0.4282,0.4446,0.4596,0.442,0.436,0.435,0.4492,0.4338,0.4286,0.426,0.438,0.4496,0.4428,0.439,0.4338,0.4294,0.4176,0.4142,0.4128,0.417,0.4218,0.4232,0.4306,0.4232,0.416,0.421,0.4306,0.4416,0.4238,0.4346,0.4466,0.445,0.4432,0.438,0.4378,0.4312
