epoch,loss,train_accuracy,validation_accuracy
0,2.296794553608451,0.15697777777777777,0.162
10,2.04103059505386,0.2680444444444444,0.2756
20,1.9678842439742708,0.30448888888888886,0.3068
30,2.0139908885541407,0.32613333333333333,0.3212
40,1.9289451114122584,0.34075555555555553,0.3364
50,1.8416818316231098,0.35133333333333333,0.3476
60,1.8464417032763059,0.3588,0.357
70,1.8068675276981543,0.3669777777777778,0.3636
80,1.7920381440005533,0.3727111111111111,0.3678
90,1.8781566768883318,0.37764444444444445,0.3734
99,1.8369438262624431,0.3808666666666667,0.3778
