epoch,loss,train_accuracy,validation_accuracy
0,2.254336236914094,0.15433333333333332,0.1618
10,2.0244637341140646,0.28315555555555555,0.2842
20,1.9455339526179,0.32535555555555556,0.3206
30,1.9470825443778421,0.34473333333333334,0.3382
40,1.8217809141714651,0.3576,0.3494
50,1.8359840133323617,0.3672,0.3572
60,1.7626868088732224,0.37424444444444444,0.363
70,1.829803345395176,0.3806222222222222,0.3686
80,1.8365459500581485,0.38755555555555554,0.3728
90,1.7133095419514368,0.3924888888888889,0.3766
99,1.6658550202093176,0.3979333333333333,0.38
