epoch,loss,train_accuracy,validation_accuracy
0,2.2867523195529746,0.12575555555555556,0.1224
10,2.0867608016076193,0.26724444444444445,0.2652
20,1.9556237535063496,0.30975555555555556,0.2988
30,1.8978683590928513,0.3334888888888889,0.3202
40,1.8498925140888827,0.3476222222222222,0.3402
50,1.8585987840667022,0.3562,0.3492
60,1.8508100885085674,0.3625777777777778,0.3554
70,1.8241730251695416,0.3715333333333333,0.3598
80,1.8451738440382337,0.3778888888888889,0.3654
90,1.7483476536152087,0.3818666666666667,0.369
99,1.6976603615529735,0.38615555555555553,0.3738
