epoch,loss,train_accuracy,validation_accuracy
0,12.84483611135492,0.10028888888888889,0.0974
10,2.303059743473457,0.09946666666666666,0.1048
20,2.3108893232207115,0.10084444444444444,0.0924
30,2.3158345104718756,0.09993333333333333,0.1006
40,2.3278708954932,0.09988888888888889,0.101
50,2.3136814698752883,0.09993333333333333,0.1006
60,2.3143102418143995,0.09993333333333333,0.1006
70,2.312840709639851,0.10084444444444444,0.0924
80,2.313571156713855,0.10084444444444444,0.0924
90,2.399660735273381,0.10084444444444444,0.0924
100,2.3126119276335397,0.09924444444444444,0.1068
110,2.313689236885912,0.09924444444444444,0.1068
120,2.317129946595597,0.09995555555555556,0.1004
130,2.31042890435589,0.09988888888888889,0.101
140,2.3183422014675936,0.10002222222222222,0.0998
149,2.321846498939437,0.10084444444444444,0.0924
