epoch,loss,train_accuracy,validation_accuracy
0,4.775591526801255,0.17177777777777778,0.1806
10,4.162268080149849,0.2692222222222222,0.275
20,3.7482342142428067,0.3008222222222222,0.3042
30,3.492164623351589,0.3161333333333333,0.3178
40,3.1836785430551,0.3257555555555556,0.329
50,2.998824960640812,0.33226666666666665,0.3372
60,2.850061876435441,0.33515555555555554,0.34
70,2.6807008914462,0.33744444444444444,0.341
80,2.6234062240152998,0.3392,0.3398
90,2.4770635299653447,0.3394666666666667,0.3378
100,2.475841777863979,0.33873333333333333,0.3342
110,2.425766966566659,0.33797777777777777,0.335
120,2.343129408876947,0.33666666666666667,0.332
130,2.2498489035435574,0.3356,0.332
140,2.2125270637160397,0.3331777777777778,0.3292
149,2.1803163739813147,0.3316222222222222,0.328
