epoch,loss,train_accuracy,validation_accuracy
0,1.867821839104643,0.35562222222222223,0.3446
10,1.3698219617698388,0.5388666666666667,0.4844
20,1.3125681442641974,0.6118666666666667,0.5258
30,1.1821344330804886,0.6665555555555556,0.5232
40,0.8894354164798411,0.7108444444444444,0.51
50,0.7366426435477503,0.7614888888888889,0.5164
60,0.6313937991492647,0.7958888888888889,0.512
70,0.4639667714110765,0.8365111111111111,0.521
80,0.4523058270465187,0.8544444444444445,0.4942
90,0.3477413697289516,0.8749777777777777,0.5002
99,0.35933318886437426,0.8994666666666666,0.5084
