epoch,loss,train_accuracy,validation_accuracy
0,2.4285011156305916,0.12726666666666667,0.117
10,2.284015658523647,0.19564444444444445,0.1886
20,2.3077594677780215,0.21135555555555555,0.205
30,2.286717980452298,0.21913333333333335,0.2166
40,2.2343276401231913,0.22497777777777778,0.222
50,2.2378927621173785,0.22875555555555555,0.2268
60,2.19534772569843,0.23195555555555555,0.2308
70,2.2101776705388705,0.23435555555555557,0.233
80,2.2598381615305168,0.23642222222222223,0.2348
90,2.211245662200257,0.2378888888888889,0.2348
100,2.2105820412138346,0.23971111111111112,0.239
110,2.198690688989954,0.24113333333333334,0.2406
120,2.1709405729177766,0.24255555555555555,0.2418
130,2.247087755365081,0.24335555555555555,0.2436
140,2.2172681349074543,0.24457777777777778,0.2448
149,2.177859093602661,0.24497777777777777,0.246
