epoch,loss,train_accuracy,validation_accuracy
0,3.5937325461875704,0.1106,0.1032
10,3.4925777390222272,0.1816222222222222,0.1744
20,3.4649588944276344,0.19984444444444444,0.1924
30,3.4160471320241674,0.20982222222222222,0.2028
40,3.388101829590164,0.2156,0.2102
50,3.3856607135482335,0.22004444444444443,0.2144
60,3.3823664825264013,0.22366666666666668,0.2166
70,3.3826379830562074,0.2263111111111111,0.2194
80,3.392207310418579,0.22924444444444445,0.2236
90,3.347534338625171,0.23166666666666666,0.2254
100,3.4116423215958482,0.23333333333333334,0.227
110,3.325472485516058,0.23464444444444443,0.229
120,3.364307330750541,0.2359111111111111,0.2312
130,3.316306716768417,0.23686666666666667,0.2334
140,3.254629533016617,0.23757777777777778,0.236
149,3.2778747002982467,0.23871111111111112,0.237
