epoch,loss,train_accuracy,validation_accuracy
0,2.0497103328639628,0.2574888888888889,0.2618
10,1.688543502411006,0.3874222222222222,0.3732
20,1.7058510691516753,0.41888888888888887,0.404
30,1.6725480037206346,0.43962222222222225,0.4196
40,1.7304859528783338,0.4535111111111111,0.4344
50,1.642027449140823,0.4662,0.4474
60,1.456919305982592,0.47455555555555556,0.4538
70,1.4247315773403328,0.48817777777777777,0.466
80,1.506073868615199,0.4982,0.47
90,1.3826749808293237,0.5039777777777777,0.4708
100,1.38622635483689,0.5132222222222222,0.481
110,1.4462079295313492,0.5195555555555555,0.4832
119,1.271754116648585,0.5242444444444444,0.4842
